time,q0_x,q0_y,q0_z
0,0.011948,-1.00049e-05,0.999929
0.01,0.023285,-2.47047e-05,0.999729
0.02,0.0326688,-3.46365e-05,0.999466
0.03,0.0430957,-5.1926e-05,0.999071
0.04,0.0556475,-2.97497e-05,0.99845
0.05,0.0674938,3.47095e-05,0.99772
0.06,0.076869,0.000162595,0.997041
0.07,0.0863002,0.000384205,0.996269
0.08,0.0971378,0.000590953,0.995271
0.09,0.106897,0.000770907,0.99427
0.1,0.117665,0.000994243,0.993053
0.11,0.127108,0.00109749,0.991888
0.12,0.137052,0.000969846,0.990563
0.13,0.145271,0.000944567,0.989392
0.14,0.15374,0.000699075,0.988111
0.15,0.16235,0.000183937,0.986733
0.16,0.172018,-0.000212363,0.985094
0.17,0.180994,-0.000882284,0.983484
0.18,0.193109,-0.00153225,0.981176
0.19,0.203017,-0.00189162,0.979173
0.2,0.212713,-0.00236807,0.977112
0.21,0.223677,-0.00248294,0.97466
0.22,0.237952,-0.00213803,0.971275
0.23,0.255533,-0.00199971,0.966798
0.24,0.272055,-0.00181367,0.96228
0.25,0.290731,-0.0013832,0.956804
0.26,0.311738,-0.00113386,0.950168
0.27,0.329351,-0.000601731,0.944207
0.28,0.343822,0.000618052,0.939035
0.29,0.35616,0.00179263,0.934423
0.3,0.367048,0.0031232,0.930197
0.31,0.378341,0.00424013,0.925656
0.32,0.389058,0.00591091,0.921194
0.33,0.399297,0.00702073,0.916795
0.34,0.410624,0.00802229,0.911769
0.35,0.419728,0.008751,0.907608
0.36,0.425567,0.00907478,0.904882
0.37,0.431479,0.00994362,0.902068
0.38,0.437076,0.0104331,0.899364
0.39,0.445091,0.0107026,0.895421
0.4,0.452177,0.0102613,0.891869
0.41,0.457722,0.00971348,0.889043
0.42,0.465177,0.00944045,0.885168
0.43,0.472618,0.00978931,0.881213
0.44,0.479613,0.0103684,0.877419
0.45,0.488584,0.0117408,0.872438
0.46,0.496927,0.0128382,0.867697
0.47,0.506459,0.0127806,0.862169
0.48,0.514353,0.0119628,0.857495
0.49,0.520615,0.0109329,0.853722
0.5,0.525051,0.00990069,0.851013
0.51,0.53071,0.00909543,0.847505
0.52,0.536396,0.0086683,0.843922
0.53,0.544601,0.00861347,0.838651
0.54,0.554554,0.00936082,0.832095
0.55,0.565135,0.00972812,0.824941
0.56,0.575901,0.00933829,0.817466
0.57,0.58332,0.00951323,0.812186
0.58,0.591305,0.00920188,0.806396
0.59,0.595849,0.00886217,0.803048
0.6,0.600687,0.0082905,0.799441
0.61,0.606168,0.00740896,0.795302
0.62,0.612847,0.00671689,0.790173
0.63,0.622699,0.00614987,0.782437
0.64,0.629671,0.00496629,0.776846
0.65,0.640449,0.00255698,0.767996
0.66,0.648454,0.000701387,0.761254
0.67,0.656084,-0.000455133,0.754688
0.68,0.663289,-0.00133397,0.748362
0.69,0.669887,-0.00214208,0.74246
0.7,0.674396,-0.00386202,0.73836
0.71,0.679802,-0.00600581,0.733371
0.72,0.68474,-0.00858594,0.728737
0.73,0.690992,-0.0100826,0.722792
0.74,0.697427,-0.0110001,0.716571
0.75,0.704587,-0.0107033,0.709537
0.76,0.710888,-0.00952243,0.703241
0.77,0.716407,-0.0080013,0.697637
0.78,0.722556,-0.00808598,0.691265
0.79,0.732058,-0.00821698,0.681193
0.8,0.741322,-0.00926722,0.671085
0.81,0.749818,-0.00975603,0.661573
0.82,0.75646,-0.00938442,0.653973
0.83,0.763171,-0.00954431,0.646126
0.84,0.768831,-0.00909107,0.639387
0.85,0.775094,-0.0091304,0.63178
0.86,0.780462,-0.00822255,0.625149
0.87,0.784549,-0.00813737,0.620014
0.88,0.789333,-0.00720749,0.613923
0.89,0.794527,-0.00618551,0.607197
0.9,0.800569,-0.00653653,0.599206
0.91,0.804989,-0.00691404,0.59325
0.92,0.808495,-0.00732463,0.588458
0.93,0.81176,-0.00713155,0.583948
0.94,0.816028,-0.00569229,0.577985
0.95,0.818057,-0.00293742,0.57513
0.96,0.820345,0.00091582,0.571868
0.97,0.823161,0.00392248,0.567794
0.98,0.82467,0.00794154,0.565559
0.99,0.827774,0.0116072,0.560941
1,0.830692,0.0137707,0.556562
1.01,0.835002,0.0148044,0.550047
1.02,0.837303,0.0153399,0.546524
1.03,0.840676,0.0150314,0.54133
1.04,0.844012,0.0158597,0.53609
1.05,0.848546,0.0172701,0.528839
1.06,0.854089,0.0189014,0.519784
1.07,0.859291,0.0200689,0.511093
1.08,0.8629,0.0222924,0.504882
1.09,0.867918,0.0229198,0.496179
1.1,0.873539,0.0253446,0.486094
1.11,0.878937,0.0263732,0.476209
1.12,0.886173,0.0262888,0.462609
1.13,0.893276,0.0264185,0.448732
1.14,0.899119,0.0275026,0.436839
1.15,0.905107,0.0284809,0.424228
1.16,0.909259,0.0284053,0.415261
1.17,0.914157,0.0296762,0.404272
1.18,0.919229,0.0299741,0.39258
1.19,0.923261,0.0293964,0.383047
1.2,0.926299,0.0283371,0.375721
1.21,0.927929,0.0265661,0.371808
1.22,0.929222,0.0250698,0.36867
1.23,0.931527,0.0235249,0.362909
1.24,0.934993,0.0218897,0.353991
1.25,0.937911,0.021509,0.34621
1.26,0.94148,0.0212162,0.336401
1.27,0.945376,0.0203727,0.325344
1.28,0.948996,0.0198434,0.314663
1.29,0.952121,0.0174871,0.305221
1.3,0.955667,0.0155438,0.29404
1.31,0.958752,0.0130983,0.283942
1.32,0.961972,0.0108703,0.272932
1.33,0.965811,0.00688264,0.259157
1.34,0.969221,0.00369183,0.246165
1.35,0.971913,-0.000238862,0.235342
1.36,0.974635,-0.00330722,0.223776
1.37,0.976694,-0.00667173,0.214533
1.38,0.979286,-0.0106372,0.2022
1.39,0.98197,-0.0129929,0.18859
1.4,0.984236,-0.0146822,0.176251
1.41,0.985838,-0.0170969,0.166825
1.42,0.987067,-0.0213286,0.158881
1.43,0.988656,-0.025174,0.148071
1.44,0.989748,-0.0285494,0.139942
1.45,0.991019,-0.0311966,0.13003
1.46,0.991991,-0.0333342,0.121828
1.47,0.992846,-0.0369094,0.113551
1.48,0.993352,-0.0407198,0.107671
1.49,0.99379,-0.0422737,0.10293
1.5,0.994359,-0.0442763,0.0963882
1.51,0.995118,-0.0445218,0.0880788
1.52,0.996029,-0.0454705,0.0765377
1.53,0.996713,-0.0459225,0.0667435
1.54,0.997366,-0.0443464,0.0573941
1.55,0.998076,-0.0416439,0.0459261
1.56,0.998602,-0.0405892,0.0338729
1.57,0.998901,-0.0388784,0.0261645
